,link,text,date,No_of_Likes,No_of_tweets
17,https://twitter.com/nytimes/status/1820438378531152016#m,"From @TheAthletic: Léon Marchand just put on one of greatest individual performances at a single Olympics ever — at his home games no less. Just how high is his ceiling? “For me, it is not over — it is only the beginning,” Marchand said. https://nyti.ms/3WPLVIZ","Aug 5, 2024 · 12:35 PM UTC",147,13
18,https://twitter.com/nytimes/status/1820434602051121628#m,"The U.S. military turned over control of its two bases in Niger to local forces on Monday, ending a yearslong counterterrorism mission in the West African country even as violent extremism remains on the rise in the region. https://nyti.ms/3WAP1PO","Aug 5, 2024 · 12:20 PM UTC",71,29
19,https://twitter.com/nytimes/status/1820432076719469008#m,"From @TheAthletic: It has been a dumbfounding year for Scottie Scheffler, who is now an Olympic gold medalist. It was touching to see Scheffler, famously stoic, get emotional on the podium. He is, unquestionably, the best player in golf. https://nyti.ms/3WQanKx","Aug 5, 2024 · 12:10 PM UTC",202,15
20,https://twitter.com/nytimes/status/1820429615443198301#m,"Breaking News: Hurricane Debby, which made landfall in Florida, could produce historic levels of rainfall across the Southeast this week. https://nyti.ms/3YDQQOu","Aug 5, 2024 · 12:00 PM UTC",63,12
21,https://twitter.com/nytimes/status/1820427373025624366#m,"From @TheAthletic: The Paris Olympics are entering their final week already, with the closing ceremonies just six days away. Here are five events to keep you entertained throughout the day on Monday. https://nyti.ms/3LYYnQp","Aug 5, 2024 · 11:51 AM UTC",73,18
22,https://twitter.com/nytimes/status/1820425765025992964#m,From @TheAthletic: Taylor Knibb helped lead the United States to a dramatic silver medal in the mixed relay triathlon at the #OlympicGames — but only after a photo finish at the line that initially saw them announced in third. https://nyti.ms/4fqBiUx,"Aug 5, 2024 · 11:44 AM UTC",27,5
23,https://twitter.com/nytimes/status/1820423323244806168#m,"Alice D’Amato of Italy won gold in the women's gymnastics balance beam final after several other competitors, including Simone Biles, fell. https://nyti.ms/3SDdOl5","Aug 5, 2024 · 11:35 AM UTC",132,16
24,https://twitter.com/nytimes/status/1820422036096704746#m,"Jimmy Carter, who has been in hospice care for more than 17 months, has said that he has every intention of voting for Vice President Kamala Harris in the fall, according to his family. https://nyti.ms/3WApMNt","Aug 5, 2024 · 11:30 AM UTC",353,38
25,https://twitter.com/nytimes/status/1820418243640635546#m,"The assassinations of two Hamas leaders may be a short-term setback for the militant group, analysts say, not enough to prevent Hamas from re-emerging intact — and possibly more radicalized. https://nyti.ms/4d9z4qT","Aug 5, 2024 · 11:15 AM UTC",62,37
26,https://twitter.com/nytimes/status/1820413200132624633#m,"Already the most dominant gymnast, Simone Biles has an opportunity on Monday, the final day of women’s gymnastics competition at the Paris Games, to reaffirm her status as one of the most dominant Olympic athletes of all time. Follow live. https://nyti.ms/3WMxA01","Aug 5, 2024 · 10:55 AM UTC",132,10
27,https://twitter.com/nytimes/status/1820410704899215551#m,"On ""The Daily,"" why a friend of JD Vance from law school decided to speak out against him. https://nyti.ms/4ccw9fJ","Aug 5, 2024 · 10:45 AM UTC",107,40
28,https://twitter.com/nytimes/status/1820408168746254621#m,"Listen to ""The Headlines,"" which brings you the biggest stories of the day from the New York Times reporters who are covering them, all in about five minutes. https://nyti.ms/3LU8lCW","Aug 5, 2024 · 10:35 AM UTC",50,26
29,https://twitter.com/nytimes/status/1820400168459497879#m,"Breaking News: Prime Minister Sheikh Hasina of Bangladesh resigned after protesters rallied against a deadly crackdown, army officials said. https://nyti.ms/3yqZWna","Aug 5, 2024 · 10:03 AM UTC",95,8
30,https://twitter.com/nytimes/status/1820398109957996973#m,"Prime Minister Sheikh Hasina of Bangladesh has been spotted at an airport in Dhaka awaiting departure, fueling speculation that her time in office might be over, following deadly protests challenging her increasingly authoritarian rule. Follow live. https://nyti.ms/3LTQ6gG","Aug 5, 2024 · 9:55 AM UTC",74,13
31,https://twitter.com/nytimes/status/1820395605824319655#m,"After a weekend of violent uprisings across Britain, set off by a deadly stabbing rampage and an anti-immigrant disinformation campaign that followed it, tensions are high from the streets to government leaders’ offices. Here's what to know. https://nyti.ms/3AbPz7o","Aug 5, 2024 · 9:45 AM UTC",85,55
32,https://twitter.com/nytimes/status/1820391836302586325#m,"Noah Lyles of the U.S. was the slowest out of the blocks and did not lead the race at any point until the final stride. If the sprint was 99 meters instead of 100, he would have received silver.   Here's how he won the men's 100-meter gold by a fraction. https://nyti.ms/3Wy8fph","Aug 5, 2024 · 9:30 AM UTC",129,14
33,https://twitter.com/nytimes/status/1820386772695601370#m,"Foreign employees have become more visible in Japan, which desperately needs workers to fill jobs left open by a declining and aging population. But policies designed only for short-term stays may hurt the country in the global competition for labor. https://nyti.ms/4dvcclr","Aug 5, 2024 · 9:10 AM UTC",72,10
34,https://twitter.com/EmmaBubola/status/1820371018243875107#m,"Went to Palermo to report a story about how the local Tamil community have added St. Rosalia, the city's patron saint, to their pantheon of Hindu Gods, becoming some of her most ardent worshipers. Short 🧵 https://www.nytimes.com/2024/08/03/world/europe/in-palermo-a-catholic-saint-joins-the-hindu-pantheon.html?unlocked_article_code=1.AE4.Axpj.VoUWGE8fZ3Su&smid=url-share","Aug 5, 2024 · 8:07 AM UTC",75,7
35,https://twitter.com/nytimes/status/1820371675856126082#m,A couple planted as sleeper spies in Slovenia posed as an Argentine art dealer and an entrepreneur. They were caught in December 2022 and sent to Moscow in a sweeping prisoner exchange last week. https://nyti.ms/46z78dC,"Aug 5, 2024 · 8:10 AM UTC",63,10
36,https://twitter.com/nytimes/status/1820356580224729421#m,"Police in cities across the UK have braced for more far-right and anti-immigration protests spurred by a stabbing attack in Southport. The unrest has been driven by fast-spreading misinformation, much of it promulgated by far-right voices on social media. https://nyti.ms/3LQTgll","Aug 5, 2024 · 7:10 AM UTC",108,59
37,https://twitter.com/nytimes/status/1820346056061727061#m,"Breaking News: Stocks in Japan plunged as a sell-off in global markets turned into a rout, with investors growing uneasy about signs of a slowing U.S. economy. https://nyti.ms/4dlMvns","Aug 5, 2024 · 6:28 AM UTC",107,27
38,https://twitter.com/nytimes/status/1820341491195146593#m,"Belgium’s triathlon mixed relay team has withdrawn from Monday’s event after one of its athletes who swam in the Seine River on Wednesday became ill. The athlete, Claire Michel, was taken to a clinic in the Olympic Village for treatment. https://nyti.ms/3SxMULu","Aug 5, 2024 · 6:10 AM UTC",115,13
39,https://twitter.com/EricSchmittNYT/status/1820220826144145810#m,"Suddenly, a case that had drifted from public consciousness in 12 years of pretrial proceedings was back in the spotlight and no closer to the trial that some relatives of the nearly 3,000 victims had been aching for at Guantánamo Bay w/@carolrosenberg https://www.nytimes.com/2024/08/04/us/politics/sept-11-plea-agreement.html?smid=tw-share","Aug 4, 2024 · 10:10 PM UTC",147,12
40,https://twitter.com/nytimes/status/1820326378446672276#m,"Protesters in Bangladesh have called for a mass march on the residence of Prime Minister Sheikh Hasina on Monday, setting up a potentially lethal showdown just a day after nearly 100 people were killed in a crackdown on demonstrators.  Follow live updates. https://nyti.ms/4dyzFCt","Aug 5, 2024 · 5:10 AM UTC",86,20
41,https://twitter.com/nytimes/status/1820304964389920886#m,Breaking News: Debby strengthened into a hurricane as it approached Florida’s Big Bend coast. The storm is expected to bring heavy rain to the Southeast. https://nyti.ms/4d6y0nG,"Aug 5, 2024 · 3:44 AM UTC",93,23
42,https://twitter.com/nytimes/status/1820255850776215715#m,"Vice President Kamala Harris conducted interviews in Washington on Sunday with top contenders to be her running mate, including Senator Mark Kelly of Arizona and Govs. Tim Walz of Minnesota and Josh Shapiro of Pennsylvania. https://nyti.ms/3WwWRKn","Aug 5, 2024 · 12:29 AM UTC",184,84
43,https://twitter.com/nytimes/status/1820232696422920402#m,Robert F. Kennedy Jr. confessed on Sunday that he had left a dead bear cub in Central Park in 2014 because he thought it would be “amusing.” He posted a video detailing the bizarre story apparently ahead of an article in The New Yorker revealing his role. https://nyti.ms/4fpHeND,"Aug 4, 2024 · 10:57 PM UTC",175,96
44,https://twitter.com/nytimes/status/1820229590968607207#m,"A 5-year-old boy was killed at a professional baseball game in Maryland on Friday after a bounce house was picked up by a wind gust while children were inside of it, the authorities said. https://nyti.ms/3yCxrD0","Aug 4, 2024 · 10:45 PM UTC",67,18
45,https://twitter.com/nytimes/status/1820220692299706834#m,"A number of international airlines have suspended flights to and from Israel pending expected retaliation against the country by Iran and its Lebanese proxy, Hezbollah.  https://nyti.ms/4drclX9","Aug 4, 2024 · 10:10 PM UTC",130,32
46,https://twitter.com/nytimes/status/1820218185921986838#m,"🇺🇸 Noah Lyles became the first American to win the men’s 100-meter dash since 2004 on Sunday. He took gold by five-thousandths of a second, claiming the title of fastest man in the world. See more Olympics results here: https://nyti.ms/3WAif1q","Aug 4, 2024 · 10:00 PM UTC",492,30
47,https://twitter.com/nytimes/status/1820208112390770943#m,"Parts of the Southeast prepared on Sunday for the arrival of Tropical Storm Debby, which was expected to make landfall over Florida’s Big Bend coast as a hurricane early Monday, forecasters said. https://nyti.ms/4fyUMGi","Aug 4, 2024 · 9:20 PM UTC",74,22
48,https://twitter.com/nytimes/status/1820205258984870377#m,"A man who stole and destroyed a statue of Jackie Robinson that stood outside a youth baseball field in Wichita, Kansas, was sentenced to 15 years in prison on Friday. https://nyti.ms/4cbDkF9","Aug 4, 2024 · 9:08 PM UTC",355,59
49,https://twitter.com/nytimes/status/1820203113392816626#m,"A proposed ""Muslim-friendly"" community near Minneapolis was called segregationist. The backlash was called Islamophobic. Here's how the dispute unfolded. https://nyti.ms/3SFkyyX","Aug 4, 2024 · 9:00 PM UTC",49,29
50,https://twitter.com/nytimes/status/1820201708083171338#m,From @TheAthletic: Noah Lyles of the U.S. beat Jamaica’s Kishane Thompson by five-thousandths of a second to win Olympic gold in a stunning men’s 100-meter final. He is the first American to win since Justin Gatlin in 2004. https://nyti.ms/4d7zQF3,"Aug 4, 2024 · 8:54 PM UTC",456,31
51,https://twitter.com/estherbintliff/status/1819765111776805117#m,"A range of far-right factions and individuals, including neo-Nazis, football hooligans and Islamophobic influencers, have promoted and taken part in this week's UK riots: https://www.nytimes.com/2024/08/03/world/europe/uk-stabbing-riots-protesters.html?unlocked_article_code=1.AE4.jF-9.vW7gzlzsZj8D&smid=url-share  Reporting with @eveksampson","Aug 3, 2024 · 3:59 PM UTC",118,62
52,https://twitter.com/nytimes/status/1820180418991149395#m,"At least 70 people were killed in clashes between security forces and protesters on Sunday in Bangladesh. The exact number of deaths in the violence was unclear, but it appeared to be the deadliest day since the protests began in July. https://nyti.ms/3LYrZgN","Aug 4, 2024 · 7:30 PM UTC",153,28
53,https://twitter.com/nytimes/status/1820179171064033324#m,"Kamala Harris is poised to become the first Democratic presidential nominee of South Asian heritage. Her candidacy has reignited debate and engagement among Asian Americans, the fastest-growing group of eligible voters in the U.S. https://nyti.ms/4cc2yTF","Aug 4, 2024 · 7:25 PM UTC",189,63
54,https://twitter.com/nytimes/status/1820172920561258512#m,"The U.S. has tried to keep advanced microchips out of China. But businesses around the world have found ways to skirt the restrictions, allowing China to access advanced AI technology and further its military research, a New York Times investigation found. https://nyti.ms/46xLK8t","Aug 4, 2024 · 7:00 PM UTC",81,16
55,https://twitter.com/katieglueck/status/1820129948985622639#m,"New: “They spent a lot of time together, and Obama thought from Day 1 he had a super high political ceiling”  -- inside the Obama-Shapiro relationship, which is deeper than commonly known  https://www.nytimes.com/2024/08/04/us/politics/inside-the-obama-shapiro-relationship.html?smid=tw-share","Aug 4, 2024 · 4:09 PM UTC",192,28
56,https://twitter.com/nytimes/status/1820169116465922135#m,How did you do in Connections today? Players must select four groups of four words without making more than three mistakes. https://nyti.ms/4dyiYHn,"Aug 4, 2024 · 6:45 PM UTC",53,25
57,https://twitter.com/nytimes/status/1820165656316194980#m,From @TheAthletic: Italy’s Sara Errani completed a career Golden Slam by winning Olympic gold in the women’s doubles tennis event with Jasmine Paolini. https://nyti.ms/4dtRkLp,"Aug 4, 2024 · 6:31 PM UTC",110,7
58,https://twitter.com/nytimes/status/1820165328740975046#m,"Doug Emhoff, the husband of Vice President Kamala Harris, said on Saturday that he had an extramarital affair during his first marriage, years before he met Harris. https://nyti.ms/4d92t4v","Aug 4, 2024 · 6:30 PM UTC",73,257
59,https://twitter.com/nytimes/status/1820162810325676273#m,"🇺🇸 Bobby Finke took gold in the men’s 1,500-meter freestyle, setting a world record with a time of 14 minutes 30.67 seconds. See more visualizations of the greatest performances in the pool at the 2024 Olympics here: https://nyti.ms/3LPBK15","Aug 4, 2024 · 6:20 PM UTC",360,21
60,https://twitter.com/nytimes/status/1820160293143490966#m,The recent prisoner exchange between Russia and the U.S. — the biggest and most complex since the Cold War — was a diplomatic chess game that required patience and creativity. Our investigative reporter explains. Read more: https://nyti.ms/3LTEpXs,"Aug 4, 2024 · 6:10 PM UTC",220,47
61,https://twitter.com/nytimes/status/1820157330291306967#m,"From @TheAthletic: Bobby Finke won a gold medal on Sunday with a world-record swim. His victory saved Team USA from leaving the Games for the first time since 1900 without a men's individual swimming gold, excluding the boycotted 1980 Olympics. https://nyti.ms/4ftITSf","Aug 4, 2024 · 5:58 PM UTC",159,22
62,https://twitter.com/nytimes/status/1820147080205136182#m,"Breaking News: An Israeli airstrike on a school functioning as a shelter in Gaza City killed at least 30 people on Sunday, a Palestinian agency said, the third attack on a school in the last four days.  https://nyti.ms/3WAQcPg","Aug 4, 2024 · 5:17 PM UTC",164,93
63,https://twitter.com/nytimes/status/1820137604806746425#m,"From @TheAthletic: Kristen Faulkner became the first American woman since 1984 to take gold in the Olympics women’s road race, breaking away with three kilometers to go to complete a stunning victory in Paris. https://nyti.ms/3Yv8yDQ","Aug 4, 2024 · 4:39 PM UTC",321,25
64,https://twitter.com/nytimes/status/1820127363847405944#m,From @TheAthletic: Scottie Scheffler staged a remarkable final-round comeback in the men’s golf competition on Sunday to win his first Olympic gold medal. https://nyti.ms/3ygdT7z,"Aug 4, 2024 · 3:59 PM UTC",150,20
65,https://twitter.com/TheAthletic/status/1820091228689420517#m,Nigeria is the first African team (men's or women's) to ever advance to the #Olympics quarterfinals 🇳🇬  H/T @FIBA,"Aug 4, 2024 · 1:35 PM UTC",3881,31
66,https://twitter.com/TheAthletic/status/1820113653410226357#m,"Cameroonian boxer Cindy Ngamba cannot return home, where homosexuality is outlawed.  Instead, she forged a boxing career in England.  Sunday in Paris, she became the first person on the Olympic refugee team to win a medal.  🔗 https://www.nytimes.com/athletic/5676073/2024/08/03/cindy-ngamba-boxing-olympics-refugee/?utm_medium=social&utm_campaign=twhq&source=twitterhq","Aug 4, 2024 · 3:04 PM UTC",778,28
67,https://twitter.com/nytimes/status/1820120821437755508#m,"From @TheAthletic: Novak Djokovic beat Carlos Alcaraz in the men's singles tournament on Sunday to win his first Olympic gold medal. Djokovic is the fifth person to complete the ""Golden Slam,"" winning all four Grand Slam titles plus a gold medal. https://nyti.ms/3WQ1QHq","Aug 4, 2024 · 3:33 PM UTC",475,32
68,https://twitter.com/nytimes/status/1820120061861925372#m,"The U.S.'s Hezly Rivera, 16; South Africa's Boipelo Awuah, 18; and China's Cui Chenxi, 14: They are some of the very young athletes who have swept over this year's Olympic Games. https://nyti.ms/4ft5Gxw","Aug 4, 2024 · 3:30 PM UTC",56,13
69,https://twitter.com/nytimes/status/1820113294427881744#m,"Kaylia Nemour of Algeria took gold in Sunday’s uneven bars final, winning the first Olympic medal in women’s gymnastics for any African country. Qiu Qiyuan of China won silver and Sunisa Lee of the U.S. earned her second bronze in Paris. https://nyti.ms/3WQcKNu","Aug 4, 2024 · 3:03 PM UTC",597,33
70,https://twitter.com/nytimes/status/1820112514375442916#m,"From @TheAthletic: It’s not often that a new wrinkle is introduced into Olympic sports. But, for those watching track and field this year in Paris, they’re going to see just that — the introduction of repechage rounds in specific races. https://nyti.ms/4dpMxKW","Aug 4, 2024 · 3:00 PM UTC",37,19
71,https://twitter.com/nytimes/status/1820108713396523384#m,"As Tropical Storm Debby moves inland off the Gulf of Mexico this week, it is expected to bring intense rainfall and flooding across northern Florida, Georgia and South Carolina. https://nyti.ms/3WSuVkv","Aug 4, 2024 · 2:45 PM UTC",55,13
72,https://twitter.com/nytimes/status/1820099886898925646#m,"In @nytopinion  ""Don't Tell My Friends, But…"" is a series in which we asked nine New York Times Opinion columnists what everyone else is wrong about.  ""When I hear my friends say 'we're more divided than ever,' I object,"" @zeynep Tufekci writes. https://nyti.ms/4fyxJvm","Aug 4, 2024 · 2:10 PM UTC",58,24
73,https://twitter.com/nytimes/status/1820091829502542227#m,Breaking News: At least 40 people were killed during revived protests in Bangladesh after a deadly government crackdown last month plunged the country into a dangerous phase. https://nyti.ms/3LSmG2w,"Aug 4, 2024 · 1:38 PM UTC",82,58
74,https://twitter.com/nytimes/status/1820089834737648006#m,From @TheAthletic: Katie Ledecky has more gold medals than any American female swimmer in history. Her Olympic legacy is secure. But she might not be done. Ledecky seems to have more in the tank ahead of the 2028 Games in Los Angeles. https://nyti.ms/3LPxFdd,"Aug 4, 2024 · 1:30 PM UTC",210,45
75,https://twitter.com/nytimes/status/1820088584247922970#m,"Sunisa Lee, the all-around champion from the Tokyo Olympics, is the only American in the final of the uneven bars on Sunday, giving her a chance to win the gold medal after leaving Tokyo with the bronze three years ago. Follow live updates. https://nyti.ms/3WPMpyW","Aug 4, 2024 · 1:25 PM UTC",210,26
76,https://twitter.com/nytimes/status/1820087316699873790#m,"Floridians were bracing on Sunday for the arrival of Tropical Storm Debby, which was expected to make landfall over the state’s Big Bend coast as a hurricane early Monday. Here’s what to know about the storm. https://nyti.ms/3WyV9Ih","Aug 4, 2024 · 1:20 PM UTC",61,16
77,https://twitter.com/nytimes/status/1820084786729271480#m,"A Florida lawyer pleaded guilty on Friday to placing a bag of explosives near the Chinese Embassy in Washington, D.C., and trying to detonate it with a rifle, according to court records. https://nyti.ms/4dey3On","Aug 4, 2024 · 1:10 PM UTC",85,21
78,https://twitter.com/AnaSwanson/status/1820072085785284977#m,"NEW: The U.S. has tried to block A.I. chips made by Nvidia and others from China, amid concerns they will aid its military.  But our investigation found an active trade in the technology — part of a global effort to help China circumvent the restrictions.  https://www.nytimes.com/2024/08/04/technology/china-ai-microchips.html?unlocked_article_code=1.AU4.MBnu.t1f8V6o8iArw&smid=nytcore-ios-share&referringSource=articleShare&sgrp=c-cb","Aug 4, 2024 · 12:19 PM UTC",157,22
79,https://twitter.com/nytimes/status/1820020624024117407#m,"In @nytopinion  “I don’t think AI is ever going to be able to replace us,” our columnist @nytdavidbrooks writes. “Many fears about AI are based on an underestimation of the human mind.” https://nyti.ms/4fx9Moo","Aug 4, 2024 · 8:55 AM UTC",103,90
80,https://twitter.com/nytimes/status/1819880946411163719#m,"In @nytopinion  “Kamala Harris’s familiarity with the needs of the tech industry and her ability to innovate and protect the public interest mark her as a 21st-century leader,” Reid Hoffman, a co-founder of LinkedIn, writes. https://nyti.ms/3SyGxYp","Aug 3, 2024 · 11:40 PM UTC",310,168
81,https://twitter.com/nytimes/status/1819860834454995075#m,"Native American voters tend to vote heavily Democratic and were key to helping the party clinch Arizona in 2020. But many say they feel exhausted, disappointed and torn about how to vote this year. https://nyti.ms/3SwrKO0","Aug 3, 2024 · 10:20 PM UTC",128,90
82,https://twitter.com/nytimes/status/1819858306237616142#m,"Kamala Harris is expected to announce her running mate by Tuesday, and the contenders are making last-ditch efforts to showcase what they could bring to the ticket and keep themselves in the public eye. https://nyti.ms/3LQ1ryo","Aug 3, 2024 · 10:10 PM UTC",177,73
83,https://twitter.com/nytimes/status/1819854526695755938#m,"Violent unrest erupted in Britain as far-right agitators gathered in demonstrations around the country. The riots, experts say, are being driven by online disinformation and extremist right-wing groups after a deadly knife attack on a children’s event. https://nyti.ms/4dwTmdV","Aug 3, 2024 · 9:55 PM UTC",183,113
84,https://twitter.com/nytimes/status/1819850746227052777#m,🇺🇸 Katie Ledecky tied the record for most gold medals won by a woman in any Olympic sport with her first-place finish in the 800-meter freestyle. See more visualizations of the greatest performances in the pool at the 2024 Olympics here: https://nyti.ms/3WPjevR,"Aug 3, 2024 · 9:40 PM UTC",461,27
85,https://twitter.com/nytimes/status/1819846990034821579#m,"A 26-foot tall, 17-ton statue of Marilyn Monroe in her famous subway grate pose had bitterly divided Palm Springs. But now admirers and critics of the sculpture appear to have settled on a truce. https://nyti.ms/3SByp9o","Aug 3, 2024 · 9:25 PM UTC",113,25
86,https://twitter.com/nytimes/status/1819841941648937026#m,"🇱🇨 Julien Alfred defeated 🇺🇸 Sha'Carri Richardson and 🇺🇸 Melissa Jefferson in the women's 100-meter final, securing Saint Lucia's first ever Olympic medal. See more Olympics results here: https://nyti.ms/3YuWLW4","Aug 3, 2024 · 9:05 PM UTC",531,32
87,https://twitter.com/nytimes/status/1819834394963554504#m,"Ina Jaffe, an NPR correspondent for roughly 40 years who was known for her unflinching approach to journalism and was the first editor of the network’s initial iteration of “Weekend Edition Saturday,” died on Thursday. She was 75. https://nyti.ms/4doHnyI","Aug 3, 2024 · 8:35 PM UTC",208,19
88,https://twitter.com/nytimes/status/1819831885893153204#m,"Gov. Josh Shapiro of Pennsylvania, who is on the short list to be Kamala Harris’s running mate, is facing renewed criticism for his handling of a sexual harassment complaint against a longtime top aide. https://nyti.ms/3YuwjMi","Aug 3, 2024 · 8:25 PM UTC",331,129
89,https://twitter.com/nytimes/status/1819826719647265179#m,Breaking News from @TheAthletic: The American swimmer Katie Ledecky took gold in the women’s 800-meter freestyle and tied the record for the most gold medals of any female Olympian. https://nyti.ms/3WMjY50,"Aug 3, 2024 · 8:04 PM UTC",976,24
90,https://twitter.com/nytimes/status/1819826030095298912#m,"From @TheAthletic: Julien Alfred of St. Lucia cruised to gold in the women's 100m final with a national record time of 10.72, securing the country's first Olympic medal. Sha’Carri Richardson and Melissa Jefferson of the U.S. took silver and bronze. https://nyti.ms/3A9uA5f","Aug 3, 2024 · 8:01 PM UTC",256,10
91,https://twitter.com/nytimes/status/1819824315484758161#m,"When imagining a future where AI replaces human effort, most tend to think in two extremes: as a productivity boon for businesses and a disaster for the humans who will become obsolete. But what about the labor that workers themselves deem meaningless? https://nyti.ms/3yq9sXF","Aug 3, 2024 · 7:55 PM UTC",56,12
92,https://twitter.com/nytimes/status/1819809227256344637#m,"Vince Vaughn — the actor known for his charmingly sarcastic roles in R-rated comedies like “Wedding Crashers” — had a provocative and earnest discussion on fatherhood, loss and more in the latest installment of The Interview. Read or listen here. https://nyti.ms/46wNkaI","Aug 3, 2024 · 6:55 PM UTC",159,23
93,https://twitter.com/nytimes/status/1819805446170955860#m,"A prisoner swap on Thursday freed the convicted Russian assassin Vadim Krasikov, the American journalist Evan Gershkovich and 22 others in a complex seven-country deal. Here's what happened in the final hours of the exchange. https://nyti.ms/3LOZX7F","Aug 3, 2024 · 6:40 PM UTC",106,21
94,https://twitter.com/nytimes/status/1819800430810964049#m,"Imane Khelif of Algeria, the boxer at the center of a controversy involving eligibility and fairness in the women’s boxing tournament at the Paris Olympics, advanced to the semifinals in her weight class on Saturday. https://nyti.ms/3ytJvqf","Aug 3, 2024 · 6:20 PM UTC",280,106
